,filename,blocks,lines
108,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00018.xml,6,196
109,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00019.xml,24,127
110,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251221-00020.xml,27,156
111,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00001.xml,3,110
112,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00002.xml,6,143
113,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00003.xml,6,150
114,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00004.xml,5,111
115,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00005.xml,5,131
116,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00006.xml,4,151
117,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00007.xml,8,125
118,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00008.xml,6,96
119,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00009.xml,4,121
120,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00010.xml,8,142
121,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00011.xml,21,189
122,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00012.xml,12,85
123,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00013.xml,28,70
124,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00014.xml,9,12
125,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00015.xml,13,124
126,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00016.xml,6,224
127,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00017.xml,7,160
128,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00018.xml,29,240
129,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00019.xml,7,132
130,/home/dbsm-user/data/Skripte/data/Börsenblatt/Einzelseiten/39946221X-19251222-00020.xml,9,146
